file,line,type,commit,author,date,time,timezone,datetime,depth,length
static\global.js,30,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,20
static\global.js,31,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,14
static\global.js,32,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,18
static\global.js,33,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,0
static\global.js,34,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,46
static\global.js,35,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,16
static\global.js,36,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,1
static\global.js,37,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,0
static\global.js,38,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,34
static\global.js,39,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,11
static\global.js,40,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,20
static\global.js,41,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,0
static\global.js,42,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,65
static\global.js,43,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,25
static\global.js,44,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,0
static\global.js,45,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,0
static\global.js,46,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,28
static\global.js,47,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,18
static\global.js,48,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,0
static\global.js,49,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,0
static\global.js,50,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,12
static\global.js,51,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,0
static\global.js,52,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,0
static\global.js,53,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,0
static\global.js,54,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,0,46
static\global.js,55,js,73b8841,maurodiaz7,2025-03-20,10:36:37,-03:00,2025-03-20T10:36:37-03:00,2,26
